,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
2311,002748,世龙实业,0.0,0.0,0.0,0.0,0.0,12.23,0.0,0.0,0.0,19.496,2.505,293520.0,293520.0
2312,002747,埃斯顿,0.0,0.0,0.0,0.0,0.0,13.81,0.0,0.0,0.0,125.545,7.337,1157955.801705,1134352.339392
2313,002746,仙坛股份,0.0,0.0,0.0,0.0,0.0,24.81,0.0,0.0,0.0,44.304,2.099,451145.538681,353645.960181
2314,002745,木林森,0.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,14.331,1.627,1923113.62152,946164.83052
2315,002743,富煌钢构,0.0,0.0,0.0,0.0,0.0,8.85,0.0,0.0,0.0,42.143,1.495,298431.6288,293785.3788
2316,002742,三圣股份,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.0,0.0,32.857,4.122,596160.0,370634.73096
2317,002741,光华科技,0.0,0.0,0.0,0.0,0.0,20.79,0.0,0.0,0.0,84.0,6.848,778021.671042,370925.28396
2318,002740,爱迪尔,0.0,0.0,0.0,0.0,0.0,8.53,0.0,0.0,0.0,47.389,1.939,281990.629112,156659.090889
2319,002739,万达电影,0.0,0.0,0.0,0.0,0.0,52.04,0.0,0.0,0.0,40.319,5.064,6111031.044696,5933545.164036
2320,002738,中矿资源,0.0,0.0,0.0,0.0,0.0,23.05,0.0,0.0,0.0,80.962,6.511,443309.125,283504.224125
2321,002737,葵花药业,0.0,0.0,0.0,0.0,0.0,23.27,0.0,0.0,0.0,16.048,2.154,1358968.0,1202544.141942
2322,002736,国信证券,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,20.769,1.857,8856000.0,8856000.0
2323,002735,王子新材,0.0,0.0,0.0,0.0,0.0,32.78,0.0,0.0,0.0,68.292,5.214,276085.9442,137520.295
2324,002734,利民股份,0.0,0.0,0.0,0.0,0.0,25.45,0.0,0.0,0.0,30.663,2.42,419184.285385,314862.51869
2325,002733,雄韬股份,0.0,0.0,0.0,0.0,0.0,12.74,0.0,0.0,0.0,127.4,2.081,446044.225718,396990.836788
2326,002732,燕塘乳业,0.0,0.0,0.0,0.0,0.0,25.3,0.0,0.0,0.0,32.857,4.152,398095.5,393721.95225
2327,002731,萃华珠宝,0.0,0.0,0.0,0.0,0.0,15.81,0.0,0.0,0.0,37.643,2.011,238225.08,202166.158473
2328,002730,电光科技,0.0,0.0,0.0,0.0,0.0,10.45,0.0,0.0,0.0,61.471,3.73,337194.33,303571.455
2329,002729,好利来,0.0,0.0,0.0,0.0,0.0,35.71,0.0,0.0,0.0,105.029,5.641,238114.28,238114.28
2330,002728,特一药业,0.0,0.0,0.0,0.0,0.0,18.62,0.0,0.0,0.0,35.132,3.711,372400.0,210233.765
2331,002727,一心堂,0.0,0.0,0.0,0.0,0.0,31.42,0.0,0.0,0.0,38.695,4.664,1783932.746162,840350.64808
2332,002726,龙大肉食,0.0,0.0,0.0,0.0,0.0,8.99,0.0,0.0,0.0,35.96,3.38,679726.708,671580.468945
2333,002725,跃岭股份,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,90.9,1.593,232704.0,99770.84919
2334,002724,海洋王,0.0,0.0,0.0,0.0,0.0,8.23,0.0,0.0,0.0,32.491,2.7720000000000002,493800.0,225893.462419
2335,002723,金莱特,0.0,0.0,0.0,0.0,0.0,17.87,0.0,0.0,0.0,434.793,5.198,333632.9,225126.26
2336,002722,金轮股份,0.0,0.0,0.0,0.0,0.0,19.37,0.0,0.0,0.0,39.531,1.9460000000000002,339878.691854,214882.065437
2337,002721,金一文化,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,40.0,1.875,901495.60632,550450.59948
2338,002719,麦趣尔,0.0,0.0,0.0,0.0,0.0,30.33,0.0,0.0,0.0,178.412,2.851,330103.109313,256674.2976
2339,002718,友邦吊顶,0.0,0.0,0.0,0.0,0.0,42.41,0.0,0.0,0.0,28.85,3.287,371646.828526,110401.228526
2340,002717,岭南股份,0.0,0.0,0.0,0.0,0.0,12.79,0.0,0.0,0.0,10.398,1.502,1283260.6048,679133.66479
2341,002716,金贵银业,0.0,0.0,0.0,0.0,0.0,16.84,0.0,0.0,0.0,35.83,2.636,951438.397648,617297.617204
2342,002715,登云股份,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,187.5,3.607,172500.0,143532.084375
2343,002714,牧原股份,0.0,0.0,0.0,0.0,0.0,50.66,0.0,0.0,0.0,23.896,5.636,5868775.873162,3023650.271458
2344,002713,东易日盛,0.0,0.0,0.0,0.0,0.0,24.15,0.0,0.0,0.0,28.081,5.037,634920.721365,180928.64118
2345,002712,思美传媒,0.0,0.0,0.0,0.0,0.0,19.62,0.0,0.0,0.0,25.816,1.988,670776.048954,341203.377762
2346,002711,欧浦智网,0.0,0.0,0.0,0.0,0.0,9.53,0.0,0.0,0.0,47.65,5.537,1006435.0912,999249.740899
2347,002709,天赐材料,0.0,0.0,0.0,0.0,0.0,45.04,0.0,0.0,0.0,48.957,5.406,1529862.604664,808196.751104
2348,002708,光洋股份,0.0,0.0,0.0,0.0,0.0,5.82,0.0,0.0,0.0,226.459,1.7930000000000001,272877.146232,139894.233618
2349,002707,众信旅游,0.0,0.0,0.0,0.0,0.0,11.28,0.0,0.0,0.0,40.286,4.497,958868.60496,579604.732824
2350,002706,良信电器,0.0,0.0,0.0,0.0,0.0,7.19,0.0,0.0,0.0,17.537,2.174,565150.80303,393584.645813
2351,002705,新宝股份,0.0,0.0,0.0,0.0,0.0,10.43,0.0,0.0,0.0,20.367,2.25,848415.592024,478599.2197
2352,002703,浙江世宝,0.0,0.0,0.0,0.0,0.0,6.42,0.0,0.0,0.0,155.072,3.451,506951.856954,288706.714986
2353,002702,海欣食品,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,-97.002,3.379,264418.0,163017.25
2354,002701,奥瑞金,0.0,0.0,0.0,0.0,0.0,6.03,0.0,0.0,0.0,20.1,2.443,1420201.0368,1084305.778713
2355,002700,新疆浩源,0.0,0.0,0.0,0.0,0.0,7.91,0.0,0.0,0.0,43.944,3.396,334139.66208,247656.86358
2356,002699,美盛文化,0.0,0.0,0.0,0.0,0.0,18.76,0.0,0.0,0.0,89.333,4.829,1706358.4321,1366286.098744
